publishedAt,title,description,content,results,source2,hour,day,cont_joined,neg,neu,pos,comp,blob,comp_abs,blob_abs,c_b,Sentiment
2021-06-21 09:00:00-04:00,AI in Supply Chain Management and Industrial IoT 2021-2026 - Cloud-based AI-as-a-Service for SCM will Exceed $2.3B globally by 2026 - PRNewswire,"DUBLIN, June 21, 2021 /PRNewswire/ -- The ""AI in Supply Chain Management and Industrial IoT 2021 - 2026"" report has been added to ResearchAndMarkets.com's offering.This report investigates IIoT tec","DUBLIN, June 21, 2021 /PRNewswire/ -- The ""AI in Supply Chain Management and Industrial IoT 2021 - 2026"" report has been added to ResearchAndMarkets.com's offering.This report investigates IIoT tec",55,PRNewswire,9,21,"AI in Supply Chain Management and Industrial IoT 2021-2026 - Cloud-based AI-as-a-Service for SCM will Exceed $2.3B globally by 2026 - PRNewswire; DUBLIN, June 21, 2021 /PRNewswire/ -- The ""AI in Supply Chain Management and Industrial IoT 2021 - 2026"" report has been added to ResearchAndMarkets.com's offering.This report investigates IIoT tec",0.0,1.0,0.0,0.0,0.0,0,0,0.0,0
2021-06-21 09:00:00-04:00,What to expect from Microsoft’s Windows 11 event,"A new version of Windows is on the way Microsoft’s “next generation” of Windows event is taking place later this week, on June 24th at 11AM ET. Thanks to a big Windows 11 leak, we already have a good","A new version of Windows is on the way Microsoft’s “next generation” of Windows event is taking place later this week, on June 24th at 11AM ET. Thanks to a big Windows 11 leak, we already have a good",55,The Verge,9,21,"What to expect from Microsoft’s Windows 11 event; A new version of Windows is on the way Microsoft’s “next generation” of Windows event is taking place later this week, on June 24th at 11AM ET. Thanks to a big Windows 11 leak, we already have a good",0.049,0.833,0.118,0.5267,0.17272727272727273,1,1,0.3539727272727272,1
2021-06-21 09:00:00-04:00,The Man Who Turned “Critical Race Theory” into a Red-Hot Political Issue,"Christopher Rufo was a successful documentary maker, some of whose shows were broadcast on PBS. He moved to Seattle and his politics moved rightward. The New Yorker wrote about his rise as a star o","Christopher Rufo was a successful documentary maker, some of whose shows were broadcast on PBS. He moved to Seattle and his politics moved rightward. The New Yorker wrote about his rise as a star o",55,Dianeravitch,9,21,"The Man Who Turned “Critical Race Theory” into a Red-Hot Political Issue; Christopher Rufo was a successful documentary maker, some of whose shows were broadcast on PBS. He moved to Seattle and his politics moved rightward. The New Yorker wrote about his rise as a star o",0.0,0.917,0.083,0.5859,0.17727272727272728,1,1,0.40862727272727273,1
2021-06-21 09:00:00-04:00,Perseverance Mars Rover’s Mastcam-Z View of ‘Van Zyl Overlook’ (360 video + audio),"Stop breadboarding and soldering – start making immediately! Adafruit’s Circuit Playground is jam-packed with LEDs, sensors, buttons, alligator clip pads and more. Build projects with Circuit Playgro","Stop breadboarding and soldering – start making immediately! Adafruit’s Circuit Playground is jam-packed with LEDs, sensors, buttons, alligator clip pads and more. Build projects with Circuit Playgro",55,Adafruit,9,21,"Perseverance Mars Rover’s Mastcam-Z View of ‘Van Zyl Overlook’ (360 video + audio); Stop breadboarding and soldering – start making immediately! Adafruit’s Circuit Playground is jam-packed with LEDs, sensors, buttons, alligator clip pads and more. Build projects with Circuit Playgro",0.063,0.937,0.0,-0.3595,0.5,-1,1,-0.8594999999999999,-1
2021-06-21 09:00:00-04:00,This AI Startup Raised $43 Million To Save Lives (And Money) By Treating Heart Disease Earlier,"James K. Min, founder and CEO, Cleerly.cleerlyThis year around 650,000 Americans will die from heart diseaseand many of them wont see itcoming. Thats because around 60% of people who have a hear","James K. Min, founder and CEO, Cleerly.cleerlyThis year around 650,000 Americans will die from heart diseaseand many of them wont see itcoming. Thats because around 60% of people who have a hear",55,Forbes,9,21,"This AI Startup Raised $43 Million To Save Lives (And Money) By Treating Heart Disease Earlier; James K. Min, founder and CEO, Cleerly.cleerlyThis year around 650,000 Americans will die from heart diseaseand many of them wont see itcoming. Thats because around 60% of people who have a hear",0.075,0.864,0.061,-0.1779,0.25,0,1,-0.4279,0
2021-06-21 09:00:00-04:00,Ectron Collaborates With Microsoft to Accelerate Internet of Things Solutions With the Release of Its Server Class Edge-Computer - PRNewswire,"SAN DIEGO, June 21, 2021 /PRNewswire/ --Ectron, a ""First Mile IIoT Solution"" provider, announced that its server-class edge-computer has joined Microsoft's Azure Certified for IoT program.Participa","SAN DIEGO, June 21, 2021 /PRNewswire/ --Ectron, a ""First Mile IIoT Solution"" provider, announced that its server-class edge-computer has joined Microsoft's Azure Certified for IoT program.Participa",55,PRNewswire,9,21,"Ectron Collaborates With Microsoft to Accelerate Internet of Things Solutions With the Release of Its Server Class Edge-Computer - PRNewswire; SAN DIEGO, June 21, 2021 /PRNewswire/ --Ectron, a ""First Mile IIoT Solution"" provider, announced that its server-class edge-computer has joined Microsoft's Azure Certified for IoT program.Participa",0.0,0.913,0.087,0.4588,0.25,1,1,0.20879999999999999,1
2021-06-21 09:00:00-04:00,Ectron Collaborates With Microsoft to Accelerate Internet of Things Solutions With the Release of Its Server Class Edge-Computer - Monterey County Weekly,"SAN DIEGO, June 21, 2021 /PRNewswire/ --Ectron, a ""First Mile IIoT Solution"" provider, announced that its server-class edge-computer has joined Microsoft's Azure Certified for IoT program.Participa","SAN DIEGO, June 21, 2021 /PRNewswire/ --Ectron, a ""First Mile IIoT Solution"" provider, announced that its server-class edge-computer has joined Microsoft's Azure Certified for IoT program.Participa",55,Tncontentexchange,9,21,"Ectron Collaborates With Microsoft to Accelerate Internet of Things Solutions With the Release of Its Server Class Edge-Computer - Monterey County Weekly; SAN DIEGO, June 21, 2021 /PRNewswire/ --Ectron, a ""First Mile IIoT Solution"" provider, announced that its server-class edge-computer has joined Microsoft's Azure Certified for IoT program.Participa",0.0,0.917,0.083,0.4588,0.25,1,1,0.20879999999999999,1
2021-06-21 09:00:08-04:00,#2098 He sold his company to WeWork (and bought it back),"Andrew: Hey, they’re freedom fighters. My name is Andrew Warner. I’m the founder of Mixergy where I interview entrepreneurs about how they built their businesses. I read entrepreneurial stories all t","Andrew: Hey, they’re freedom fighters. My name is Andrew Warner. I’m the founder of Mixergy where I interview entrepreneurs about how they built their businesses. I read entrepreneurial stories all t",55,Mixergy,9,21,"#2098 He sold his company to WeWork (and bought it back); Andrew: Hey, they’re freedom fighters. My name is Andrew Warner. I’m the founder of Mixergy where I interview entrepreneurs about how they built their businesses. I read entrepreneurial stories all t",0.028,0.873,0.099,0.6124,0.0,1,0,0.6124,1
2021-06-21 09:01:16-04:00,Shop the latest sale from Microsoft Store and save on top tech for back to school,"With 62% of parents planning to purchase more back-to-school items online this summer, they can start saving now on tech and accessories for the upcoming school year. To help parents plan ahead, star","With 62% of parents planning to purchase more back-to-school items online this summer, they can start saving now on tech and accessories for the upcoming school year. To help parents plan ahead, star",55,Windows,9,21,"Shop the latest sale from Microsoft Store and save on top tech for back to school; With 62% of parents planning to purchase more back-to-school items online this summer, they can start saving now on tech and accessories for the upcoming school year. To help parents plan ahead, star",0.0,0.857,0.143,0.7717,0.375,1,1,0.39670000000000005,1
2021-06-21 09:01:21-04:00,How to Easily Turn Teams Messages into Tasks,"When was the last time you were engaged in a communication thread and made a mental note to assign yourself a task? And thenforgot? Yep, me too. I can literally say it aloud while Im working and lose","When was the last time you were engaged in a communication thread and made a mental note to assign yourself a task? And thenforgot? Yep, me too. I can literally say it aloud while Im working and lose",55,Petri,9,21,"How to Easily Turn Teams Messages into Tasks; When was the last time you were engaged in a communication thread and made a mental note to assign yourself a task? And thenforgot? Yep, me too. I can literally say it aloud while Im working and lose",0.056,0.786,0.158,0.6072,0.11111111111111112,1,0,0.49608888888888886,1
