publishedAt,title,description,content,results,source2,hour,day,cont_joined,neg,neu,pos,comp,blob,comp_abs,blob_abs,c_b,Sentiment
2021-06-21 09:00:00-04:00,How to Promote Word-of-Mouth Referrals Through Paid Ads,"Word-of-mouth marketing is one of the most valuable forms of advertising. After all, why wouldn’t you want customers to rave about your business to friends and family?Word-of-mouth referrals are gr","Word-of-mouth marketing is one of the most valuable forms of advertising. After all, why wouldn’t you want customers to rave about your business to friends and family?Word-of-mouth referrals are gr",34.0,Neilpatel,9.0,21.0,"How to Promote Word-of-Mouth Referrals Through Paid Ads; Word-of-mouth marketing is one of the most valuable forms of advertising. After all, why wouldn’t you want customers to rave about your business to friends and family?Word-of-mouth referrals are gr",0.0,0.766,0.234,0.8553,0.5,1,1,0.35529999999999995,1
2021-06-21 09:00:00-04:00,An Investing Truth: Roughly 80% Of Stocks Are “Duds”,"NEW YORK, NY - JULY 30: People are reflected in the window of the Nasdaq MarketSite in Times Square ...","NEW YORK, NY - JULY 30: People are reflected in the window of the Nasdaq MarketSite in Times Square ...",34.0,Forbes,9.0,21.0,"An Investing Truth: Roughly 80% Of Stocks Are “Duds”; NEW YORK, NY - JULY 30: People are reflected in the window of the Nasdaq MarketSite in Times Square ...",0.0,0.922,0.078,0.3182,0.018181818181818174,1,0,0.3000181818181818,1
2021-06-21 09:00:17-04:00,Mazebook: A Haunting New Fantasy Series From Sweet Tooth's Jeff Lemire,"From the ever-growing Black Hammer universe to the recently launched Snow Angels to Sweet Tooth, the acclaimed Vertigo comic that inspired the Netflix series, Jeff Lemire manages to somehow be one of","From the ever-growing Black Hammer universe to the recently launched Snow Angels to Sweet Tooth, the acclaimed Vertigo comic that inspired the Netflix series, Jeff Lemire manages to somehow be one of",34.0,IGN,9.0,21.0,"Mazebook: A Haunting New Fantasy Series From Sweet Tooth's Jeff Lemire; From the ever-growing Black Hammer universe to the recently launched Snow Angels to Sweet Tooth, the acclaimed Vertigo comic that inspired the Netflix series, Jeff Lemire manages to somehow be one of",0.042,0.743,0.215,0.8225,0.15328282828282827,1,1,0.6692171717171718,1
2021-06-21 09:00:43-04:00,Music licensing marketplace Songtradr raises $50M,"Music licensing marketplace Songtradr this morning announced a $50 million Series D. The oversubscribed round which features Regal, Aware Super, Perennial, Argo and Greencape follows a $30 million ra","Music licensing marketplace Songtradr this morning announced a $50 million Series D. The oversubscribed round which features Regal, Aware Super, Perennial, Argo and Greencape follows a $30 million ra",34.0,TechCrunch,9.0,21.0,"Music licensing marketplace Songtradr raises $50M; Music licensing marketplace Songtradr this morning announced a $50 million Series D. The oversubscribed round which features Regal, Aware Super, Perennial, Argo and Greencape follows a $30 million ra",0.0,0.891,0.109,0.5994,0.12777777777777777,1,0,0.4716222222222223,1
2021-06-21 09:00:44-04:00,How to Keep Yourself Accountable,"This story originally appeared on CalendarSince COVID has wound down a little — would you say that it’s easier or harder to keep yourself accountable? When I ask myself this — one time, I say “it’s e","This story originally appeared on CalendarSince COVID has wound down a little — would you say that it’s easier or harder to keep yourself accountable? When I ask myself this — one time, I say “it’s e",34.0,Calendar,9.0,21.0,"How to Keep Yourself Accountable; This story originally appeared on CalendarSince COVID has wound down a little — would you say that it’s easier or harder to keep yourself accountable? When I ask myself this — one time, I say “it’s e",0.0,0.926,0.074,0.4215,-0.017013888888888898,1,0,0.43851388888888887,1
2021-06-21 09:02:08-04:00,Amazon Prime Day TV deal: Panasonic’s TX-55HX600BZ 55in 4K TV has £240 off,"Amazon Prime Day has well and truly arrived, bringing with it huge discounts on mattresses, iPhones, PS5 games, Shark vacuum cleaners and more.Across the biggest shopping event this year, well be b","Amazon Prime Day has well and truly arrived, bringing with it huge discounts on mattresses, iPhones, PS5 games, Shark vacuum cleaners and more.Across the biggest shopping event this year, well be b",34.0,Independent,9.0,21.0,"Amazon Prime Day TV deal: Panasonic’s TX-55HX600BZ 55in 4K TV has £240 off; Amazon Prime Day has well and truly arrived, bringing with it huge discounts on mattresses, iPhones, PS5 games, Shark vacuum cleaners and more.Across the biggest shopping event this year, well be b",0.0,0.748,0.252,0.8689,0.19583333333333336,1,1,0.6730666666666667,1
2021-06-21 09:04:01-04:00,Artificial Intelligence Research Topics for PhD Manuscripts 2021 - Phdassistance,ARTIFICIAL INTELLIGENCE RESEARCH TOPICS FOR PHD ASSISTANCE PHD MANUSCRIPTS 2021 YOUR TRUSTED MENTOR SINCE 2001 18 IOT DEEP LEARNING ROBOTICS COMPUTER VISION INTERNET OF THINGS Robotics is an area The,ARTIFICIAL INTELLIGENCE RESEARCH TOPICS FOR PHD ASSISTANCE PHD MANUSCRIPTS 2021 YOUR TRUSTED MENTOR SINCE 2001 18 IOT DEEP LEARNING ROBOTICS COMPUTER VISION INTERNET OF THINGS Robotics is an area The,34.0,Visual,9.0,21.0,Artificial Intelligence Research Topics for PhD Manuscripts 2021 - Phdassistance; ARTIFICIAL INTELLIGENCE RESEARCH TOPICS FOR PHD ASSISTANCE PHD MANUSCRIPTS 2021 YOUR TRUSTED MENTOR SINCE 2001 18 IOT DEEP LEARNING ROBOTICS COMPUTER VISION INTERNET OF THINGS Robotics is an area The,0.0,0.722,0.278,0.926,-0.39999999999999997,1,-1,1.326,1
2021-06-21 09:04:57-04:00,How to Declutter Your Spotify App on Windows 10 Computers – Step-by-Step Tutorial,"Spotify is a great app if you are a fan of music and want to follow your favorite artists and subscribe to podcasts. Spotify even recommends music based on your listening pattern, but the desktop app","Spotify is a great app if you are a fan of music and want to follow your favorite artists and subscribe to podcasts. Spotify even recommends music based on your listening pattern, but the desktop app",34.0,Wccftech,9.0,21.0,"How to Declutter Your Spotify App on Windows 10 Computers – Step-by-Step Tutorial; Spotify is a great app if you are a fan of music and want to follow your favorite artists and subscribe to podcasts. Spotify even recommends music based on your listening pattern, but the desktop app",0.0,0.823,0.177,0.7003,0.65,1,1,0.05030000000000001,1
2021-06-21 09:13:12-04:00,"Peppa Pig's new voice Amelie Bea Smith, 9, reveals her first word was the name of her character","The schoolgirl who voices Peppa Pig has revealed that her school friends think her job is 'really cool'.Amelie Bea Smith, ten, took over the coveted role from Harley Bird, 18, in January last year","The schoolgirl who voices Peppa Pig has revealed that her school friends think her job is 'really cool'.Amelie Bea Smith, ten, took over the coveted role from Harley Bird, 18, in January last year",34.0,Daily Mail,9.0,21.0,"Peppa Pig's new voice Amelie Bea Smith, 9, reveals her first word was the name of her character; The schoolgirl who voices Peppa Pig has revealed that her school friends think her job is 'really cool'.Amelie Bea Smith, ten, took over the coveted role from Harley Bird, 18, in January last year",0.0,0.943,0.057,0.4767,0.14727272727272728,1,1,0.32942727272727274,1
2021-06-21 09:17:39-04:00,This is why tech companies keep flocking to Toronto,"Even amid the pandemic, tons of tech, social media and e-commerce giantshave either expanded into or beefed up their presence inToronto with new downtown offices in recent months, including but not","Even amid the pandemic, tons of tech, social media and e-commerce giantshave either expanded into or beefed up their presence inToronto with new downtown offices in recent months, including but not",34.0,blogTO,9.0,21.0,"This is why tech companies keep flocking to Toronto; Even amid the pandemic, tons of tech, social media and e-commerce giantshave either expanded into or beefed up their presence inToronto with new downtown offices in recent months, including but not",0.0,1.0,0.0,0.0,0.05656565656565656,0,0,-0.05656565656565656,0
